CourseName,Description
VCM 513,"Credit: 3 hours.
Course Description: Individual animals and populations are continually exposed to internal and external hardships and to specific health challenges. To live healthy and productive lives, animals must resist and/or adapt to a wide range of health ordeals and difficulties. This ability or capacity of an individual to adapt to change and challenge is termed homeostasis and is a key concept in the design and implementation of health management strategies.
Prerequisite: Students must complete VCM 507 and VCM 509 maintaining a B or better to advance to VCM 513. All students must have a bachelor’s degree with a 3.0 GPA or better."
DANC 209,"Credit: 2 hours.
Course Description: Designed for Lyric Theatre Students, this course will introduce a broad variety of movement techniques used in the collaborative singing-acting industry. Through integrative cognitive and physical instruction, students will learn to optimize kinesthetic awareness, expressiveness, breath control, and governance of the singing actors' physical instrument. Classes will include: physical exercises and improvisations, group collaborations, and analysis of movement choices in theatrical performances. Dance styles ranging from Baroque opera and ballroom dance forms to contemporary musical theatre will be covered within this course.
Prerequisite: For Dance or Lyric Theater majors or Dance minors only or by consent of the instructor."
ACCY 571,"Credit: 2 or 4 hours.
Course Description: Fundamental knowledge of how to perform statistical analyses useful for leveraging accounting information to solve business problems. After completing this course, students should (1) have a foundational understanding of the statistical analyses underlying data analytics, (2) recognize scenarios and identify appropriate statistical tools for various types of data analysis and (3) use common computer-based tools to perform statistical analyses.
Prerequisite: Enrollment in graduate accounting program or consent of the department."
SOCW 508,"Credit: 4 hours.
Course Description: Advanced seminar providing in-depth exposure to the principles, values, ethics, issues and practice of family therapy in social work. Focuses on family therapy process, the practitioner role, issues in assessment, intervention and evaluation; how discrimination and oppression impact intervention strategies; skills that advance social and economic justice; presentation of cases; use of supervision and consultation, and family therapy with diverse populations. Combines lecture/discussion with taped observations of noted family therapists and participation in a family therapy practicum.
Prerequisite: SOCW 400."
ANSC 499,"Credit: 1 TO 4 hours.
Course Description: Group discussion or an experimental course on a special topic in animal sciences.
"
CHLH 455,"Credit: 3 hours.
Course Description: Examines major topics and emerging trends in health financing, including sources of revenue, public and private financing organizations, reimbursement and sources of revenue to health providers, and capital financing in the health care industry.
Prerequisite: Junior standing."
RST 199,"Credit: 1 TO 5 hours.
Course Description: Covering various topics for undergraduates in Recreation, Sport & Tourism.
"
HIST 335/JS 335,
UP 260,"Credit: 3 hours.
Course Description: How are inequalities produced and contested in an urban environment? This course examines this question by analyzing how the urban landscape shapes and is shaped by race, class, and gender inequalities. Uses comparative cases to explore successful intervention, both from formal and informal, across multiple scales from the local to the global.
"
PHYS 582,"Credit: 4 hours.
Course Description: Standard techniques of field theory as used by experimenters and theorists; relativistic quantum mechanics of a single particle; Lagrangian field theories, perturbation theory, and calculation of lowest-order processes; introduction to Feynman diagrams and higher order processes; examples taken from quantum electrodynamics, solid-state and elementary particle physics, and many-body theory.
Prerequisite: PHYS 581."
TE 398,"Credit: 1 TO 4 hours.
Course Description: Subject offerings of innovation, creativity, technology and entrepreneurship intended to augment the existing curriculum. See class schedule or departmental course information for topics and prerequisites.
"
